0,1,2,3
0.11611345,-0.08862424,0.5631127,0.38191972
0.20246518,0.48710462,-0.26080886,-0.13052397
-0.44611545,-0.16162914,-0.07952507,-0.12533302
-0.10535948,0.41563579,-0.07201168,-0.60940267
0.1324581,0.18979706,0.41524573,-0.01075008
-0.0757834,-0.08637626,0.14211407,-0.18804127
-0.06124106,-0.47124756,0.39122053,0.17294957
0.44415245,-0.15714968,-0.12044741,-0.37297952
-0.01002632,-0.23425177,-0.74441243,0.20095839
0.04342895,0.04631952,-0.23086372,0.15446535
-0.66058014,0.07722032,0.68202144,0.04283822
0.42728251,-0.00394263,0.42632044,-0.387968
-0.20703697,-0.11525618,-0.40707013,-0.24641969
0.36396282,0.66106817,0.19527822,0.05433247
0.216077,-0.0714739,-0.18351513,0.12620868
-0.19348728,-0.22421056,0.32017612,-0.39153173
-0.34886871,0.29783089,-0.03481534,-0.1752484
0.0106847,-0.20859744,0.68463584,0.13526189
0.09387412,-0.13007607,0.24224589,-0.27576958
0.34446047,-0.12339998,0.1905773,-0.2990571
-0.12512802,-0.2383319,-0.22390804,-0.13462233
-0.23058757,-0.07173582,0.51395083,0.16142972
0.08741177,-0.3977573,0.15986528,-0.04060033
0.63418161,0.43723041,-0.06392882,0.22394726
0.32876716,-0.30919422,0.05555013,-0.21512796
-0.02423096,-0.32211263,-0.23078718,0.19284764
-0.01749678,-0.14759138,-0.16430502,0.05530755
0.55638541,-0.09226658,-0.25120848,-0.20251222
-0.24272305,0.47570577,0.04117476,-0.30338542
0.33945729,-0.31278718,0.20564551,-0.30792197
0.04695413,0.36738417,-0.39677739,0.07223988
0.25668045,-0.2088721,-0.12562421,-0.52753294
0.64159639,-0.30420252,-0.09233185,0.02959347
0.2728653,0.45716097,-0.11420703,0.15585473
0.15124305,-0.40922106,0.12896409,-0.5828177
-0.13731581,0.17923577,-0.07907335,-0.09595237
-0.22957365,0.16960403,0.22839857,0.45430409
0.15462417,0.24276352,-0.19183425,0.19320482
-0.30535114,0.24895128,-0.28304324,0.66016465
-0.36142796,-0.3914643,-0.47140014,0.14265107
-0.31233357,0.40178974,0.63690678,0.07196102
0.16545154,-0.61643443,0.01141569,0.01028367
-0.27994091,-0.13785908,-0.04114548,-0.79280564
-0.1983819,0.12026557,-0.02041468,-0.07958999
0.12392346,-0.28635702,0.36462169,0.18034781
