0,1,2,3,4,5,6,7
-0.04199748,-0.08454824,0.03664419,0.29343063,-0.2153421,-0.27773626,0.39635439,-0.53254176
-0.44353781,-0.07931587,-0.15894049,-0.01890053,-0.0422718,0.55797529,0.21224346,0.36938474
-0.24750016,0.41008431,-0.03946024,0.06510291,0.27844059,-0.15668121,-0.31041735,-0.22754257
0.28914228,-0.10250407,0.29732224,0.07694442,0.14308364,0.17014701,-0.50872614,0.34506866
0.15242914,0.26524985,-0.11512548,0.0899979,0.39273647,0.07654738,0.05948792,0.11208592
0.1935526,-0.11052507,0.14179209,0.41589207,0.34975062,-0.362104,-0.44155598,0.95874229
0.58654477,-0.21834523,-0.18172365,-0.00983537,-0.13711289,-0.47846883,-0.18811081,-0.14773143
0.25846916,0.4434963,-0.3852856,0.39884276,0.20990844,0.4008946,0.03530685,0.52083402
-0.15298072,-0.12048993,-0.12492921,0.31026685,0.52297137,0.00216632,-0.56566023,-0.09315722
0.31062599,0.22033642,0.0817906,-0.07715402,-0.37428112,-0.15498357,0.1024886,0.02107292
-0.00038716,0.11097973,-0.43620653,0.61501544,0.63312281,-0.20987686,-0.11412344,0.510706
0.0921324,-0.08494241,-0.0767158,-0.14092213,0.32429922,-0.48022457,-0.14205938,0.37285797
-0.2694163,0.41345192,0.12859586,0.2524351,0.0762316,-0.28215004,-0.06350519,0.94286779
-0.01495003,-0.22062957,0.04320532,-0.29401764,0.12965154,0.44580677,-0.1253484,0.05983162
-0.03031176,0.14026043,-0.15096323,0.32711774,0.48499037,0.25997024,-0.33407756,-0.28548658
-0.20937946,0.26268467,0.0049412,-0.18686246,-0.0552548,-0.27314375,-0.40092113,0.17103814
0.15557905,-0.30151277,0.05387435,0.27701456,-0.14049104,0.12885441,-0.16627352,0.39106186
0.3190927,0.11712892,0.03231623,-0.46897878,0.04793365,-0.80411938,-0.87481246,-0.12046939
0.05205564,-0.20241774,-0.00612657,0.52120604,0.11629819,-0.12963288,-0.50622448,-0.30323747
0.39906236,0.15310236,-0.10771513,0.10862698,-0.00655746,0.30784978,-0.16338353,0.169421
0.14324295,0.23309413,0.33107121,-0.18536573,0.32013237,-0.40597,0.33870489,-0.0014504
-0.14326076,-0.43630124,-0.26636968,-0.04300893,-0.40744275,0.11544383,-0.10316801,0.04409152
-0.13262804,0.27115961,-0.15135207,0.33025103,-0.24530276,-0.33071362,0.00166594,0.49987435
0.21012315,-0.27882215,0.31098874,-0.10118967,0.18694983,-0.55265418,-0.13740235,0.07931175
0.06345523,0.49946813,0.1123998,0.64170128,0.20061108,0.27705284,0.25793308,-0.11803405
0.25521709,-0.00646409,0.09786702,-0.34965413,-0.16764975,0.08335118,0.15578918,0.30054971
0.05535792,0.25904255,-0.08627384,0.03491356,-0.15099519,-0.1754376,-0.10755493,0.01223419
-0.1794349,-0.14594084,-0.4635443,0.41401018,-0.23121874,0.1469639,-0.12975593,-0.0330314
0.38547587,-0.37666101,-0.6405379,0.1813439,0.08622342,-0.13802347,-0.05981536,0.33203018
-0.19983008,-0.18295651,-0.39245825,0.17471044,0.37600194,-0.80336108,-0.12466411,0.09996703
-0.57083901,0.11648271,-0.32018631,-0.40846589,-0.3851216,0.5685612,-0.11089018,-0.30940939
0.0824478,-0.29920397,-0.04006845,-0.04383054,-0.1675818,0.21847544,0.04336131,0.45114689
0.34336096,0.00915616,-0.3977507,0.16573008,0.40881283,0.09483496,0.1116348,0.24587699
-0.22148554,-0.39590999,0.09523788,-0.39071278,-0.41843195,0.22501373,0.27788462,0.62843421
0.28371174,0.05580041,-0.21015514,-0.00623004,0.39239114,0.23588773,0.07056967,0.23904297
-0.01488308,0.01201412,-0.0740781,-0.07572672,0.35597947,-0.33888653,-0.62637087,-0.2362447
-0.03865162,0.14856959,0.07504511,0.12117269,-0.1396727,0.08187593,-0.10153007,-0.07225493
0.0969061,-0.41542287,-0.25647507,0.08745055,0.18088742,0.1840798,-0.05385352,0.57224154
0.1929737,0.84542183,-0.12412158,0.31078011,0.38447429,-0.20701623,-0.47576057,-0.57741974
-0.10587353,-0.23939836,-0.44146542,-0.32212088,0.09287367,0.31528177,-0.02685296,0.0054078
-0.3967283,-0.15221371,-0.44114186,-0.10861067,0.26092264,0.04643994,-0.00345452,-0.19982975
0.47082687,-0.16325047,0.12035169,-0.12538907,-0.58359421,-0.06829464,0.06712169,-0.15903012
0.2154495,-0.4569697,-0.17054606,0.04292167,-0.11973449,0.19843711,-0.04406274,-0.1448844
0.11826439,-0.14943407,-0.03719261,0.49726315,0.03963522,-0.56394829,-0.04544537,0.06928889
0.85356507,0.2514704,-0.40000752,0.35918182,-0.00941139,-0.37931414,-0.13508763,0.62006551
0.40389357,-0.07122193,-0.07649195,0.02635653,-0.23414845,-0.32201913,0.17354139,0.4036034
-0.16523904,0.48057392,-0.21620067,-0.51741178,0.05316148,0.45772746,0.03067487,0.19918999
0.29809418,0.56029633,-0.04842635,0.43552695,0.48556372,-0.04160622,-0.24446089,-0.13578597
0.40175213,-0.05032445,-0.31165225,0.44880784,-0.13613415,0.09581155,-0.54910625,-0.01886027
0.07998842,0.10547344,-0.4549144,0.41223575,-0.21888404,0.05371734,-0.31270718,-0.2297344
-0.19279053,0.06032938,-0.17066265,-0.27867413,0.22300687,-0.25582855,0.1962009,-0.10154625
0.14011728,0.01940311,-0.01902856,-0.03840981,0.01076649,-0.07963742,0.04409984,0.05707446
0.1662963,0.07659564,0.20632978,0.11124284,-0.54947551,-0.32652076,-0.48495323,0.16832439
0.1977519,0.02828611,-0.12763808,0.21947251,-0.10244959,-0.44160251,-0.11977816,0.23932665
-0.12999691,0.118261,0.52737399,-0.64450596,0.33279373,0.55786362,0.04328633,0.11294094
0.40069062,-0.29113837,-0.41632415,-0.26956998,0.16161359,-0.24916559,-0.42818063,0.396473
-0.35717976,-0.16176794,-0.05958866,-0.35643861,-0.10105286,0.21244804,0.07221775,0.43044051
0.0897623,0.37351535,-0.12969499,-0.59354826,0.27322562,0.24844784,-0.2579389,0.34364513
0.24291661,-0.28153485,-0.17064539,-0.20001501,-0.04796098,0.151677,-0.44985736,0.58114646
0.05474197,-0.25873311,0.13745854,0.2686033,-0.49878712,0.04502294,-0.13590571,-0.32633679
-0.16024711,0.1607252,-0.36270432,-0.22326332,0.19080944,0.03233925,-0.08297821,-0.27219124
-0.09488505,-0.25796576,0.1443757,-0.28395572,-0.30950399,0.19125537,-0.00322193,0.30180999
0.05496686,0.24747735,0.24774926,-0.08670637,-0.11221626,0.06157609,-0.88923986,-0.08233661
-0.53023006,0.23684977,-0.09492109,-0.04664914,-0.5089279,0.47428191,-0.06731091,-0.09523935
0.33503395,-0.1364238,0.25644043,0.42067663,-0.03588301,-0.08612135,0.37880882,-0.07968762
0.05687216,-0.02950351,8.277e-05,-0.02614175,-0.04476894,-0.11894804,0.10675641,0.34639902
0.27247981,-0.36113482,-0.00829046,-0.09318179,-0.00195726,-0.15504072,-0.01123349,0.10097533
-0.10214187,-0.34780068,0.16169914,0.09572234,0.14568183,0.24173163,-0.49204797,-0.11604485
-0.43865793,0.0197897,-0.1884221,-0.12856597,0.12995637,-0.11081586,0.1498209,0.24285899
0.25335461,-0.20244021,-0.33129765,0.18293742,0.24327351,0.37172162,-0.09228812,-0.06736191
0.12992053,0.02151598,0.18730171,0.38364009,0.49760521,0.05843192,-0.03668889,-0.38175237
0.08485911,0.12737184,0.04067687,-0.22365988,0.22219288,-0.4249421,-0.4117788,0.0278764
0.18829038,-0.16692052,0.01434387,0.80003639,-0.10102945,-0.51647546,0.00585082,-0.09784733
0.08630961,-0.15744359,0.01559224,-0.00099443,-0.41149117,-0.32945105,-0.21051676,0.10484302
0.30800635,0.31680678,-0.31993575,-0.06835857,0.24016079,0.05280794,-0.57947593,-0.0450552
0.1626683,0.12055571,-0.06503468,-0.34889268,-0.02287471,-0.18925551,-0.23823256,0.11375154
-0.49603131,-0.01826269,0.25616061,0.19036156,-0.23527225,-0.33400613,-0.34513051,-0.29142183
0.21752462,0.30807888,-0.61252063,0.26474693,-0.12565506,-0.03078426,0.16280717,0.52204183
0.15645578,0.19818216,0.08022603,0.3516862,0.53791028,0.03829573,-0.11688469,0.00782053
-0.50656572,0.55995907,-0.038228,-0.21929001,-0.69004916,-0.1768006,0.11944897,-0.20410544
-0.20965946,-0.48072012,0.11780818,-0.51507511,-0.08376862,-0.15603254,-0.08414694,0.51495205
0.14081768,-0.22582176,0.0591398,-0.41083454,-0.29714432,0.02422346,0.03035004,-0.25647491
0.35258294,-0.07490336,-0.34259661,-0.27187592,0.01244774,0.23437085,0.41673703,-0.57559686
0.16151744,0.68343713,0.1637748,-0.41302036,0.52942886,-0.17041882,0.25022044,-0.06528513
-0.14369474,0.01221953,-0.05508286,-0.03174196,0.1276028,0.23574056,-0.17844681,0.06966022
-0.43142461,0.3342245,-0.14696013,0.28188668,-0.01868998,0.01473666,-0.46101471,-0.28881736
0.16412089,-0.13384542,-0.19923194,0.13244647,0.07597761,-0.13801407,0.15888244,0.07637541
-0.06532383,-0.31624712,-0.11446014,0.0702017,0.37069256,-0.0534338,0.11359789,0.07563159
0.13442093,0.28322172,-0.36063852,-0.34154805,-0.10965937,-0.17051331,0.09661407,0.05069088
0.40973497,-0.17809927,0.22842053,-0.42956553,-0.4792725,0.38948001,-0.26914469,-0.11163819
0.08050954,-0.24608984,0.25570735,0.66163597,0.07460135,0.14431964,-0.31237042,0.03095806
-0.06541542,-0.22143439,-0.02113562,0.04081329,-0.25167988,0.21579271,-0.38472661,-0.0011999
0.20109932,-0.34830802,-0.37404789,0.34211467,-0.0171997,-0.22370431,-0.2121193,0.2727757
0.18402308,-0.27882545,-0.1122455,-0.14937275,0.28191689,-0.4251589,-0.11300203,0.10080355
0.03398185,0.10618697,-0.28172415,-0.15234915,0.28367375,0.25665932,0.03071895,0.77647445
0.4831364,0.14375635,-0.05288345,0.1101988,0.47136751,-0.09327598,-0.4748778,-0.17263867
0.02458603,-0.11932838,-0.32627496,0.01921207,0.47153781,-0.66121732,0.11722778,0.48866273
-0.09257635,0.44798018,-0.30276475,0.06446643,0.20514386,-0.12517002,-0.06712761,-0.37261224
0.43419895,-0.08961575,-0.50472471,-0.05384222,-0.12603274,0.01944302,-0.24756577,0.19040039
0.65887744,-0.21006849,0.30571758,-0.12087807,0.29231095,0.0390185,-0.39954218,0.18556592
0.01982951,-0.15885433,-0.00253697,-0.01554594,0.71038748,-0.2065845,0.03988832,0.43200013
0.27559207,-0.04130319,-0.24189283,-0.26356457,-0.21589559,0.02157481,0.36552754,0.15190446
0.2024096,0.45565666,0.0993625,-0.15820977,-0.09508642,-0.36048092,-0.13785941,0.2988348
0.22724693,0.09357139,0.03806282,0.18639812,0.0483584,0.00483437,-0.2149346,-0.1762873
-0.03026479,-0.34536498,-0.16259203,0.18108164,-0.12704468,-0.71644524,-0.22861254,0.90016802
0.30424593,-0.11071907,0.32532197,-0.00155643,-0.03879739,0.35880757,0.01491548,0.23430019
0.03157806,0.07681197,-0.46767327,-0.23235898,0.26575335,0.10854459,-0.11027709,0.12450543
-0.35424749,-0.13705702,-0.64307153,-0.11118334,-0.23666301,0.10155506,0.34461231,-0.26504966
0.15788663,0.28483754,-0.15871078,-0.01843505,0.2703642,0.05806974,-0.46559275,0.1103192
-0.19661602,0.49484331,-0.04572595,0.30560017,-0.19429421,0.1378739,-0.36293318,0.35724885
-0.0294954,-0.06297145,0.18520007,-0.33147603,0.11760088,-0.31706764,-0.12526506,0.07990147
-0.02659668,-0.01211093,-0.45210867,0.0571884,-0.00085127,0.119651,0.08846962,0.38004572
-0.26431043,-0.17598133,-0.37717227,-0.02757265,0.00531094,0.21557606,0.14822701,0.23048424
0.04779628,0.29811212,0.28085573,-0.27894451,-0.12736049,-0.26716107,-0.18250149,0.03789353
0.0429101,-0.19558598,-0.54992373,-0.07734838,0.24149422,-0.22851562,-0.20399759,0.28102535
0.04247264,-0.30422355,-0.4010702,0.14180707,-0.27267763,0.05346577,-0.29992828,0.26042071
0.30896505,-0.45076831,0.29465456,-0.1823622,0.13919412,-0.335364,0.20370036,-0.11666835
-0.2791983,-0.63224923,-0.29169557,-0.41140391,0.1237885,-0.1672002,-0.50207681,0.38893919
-0.06066305,-0.08935388,-0.03523398,0.18117246,0.29618252,0.36558373,-0.435681,-0.1555531
-0.27786453,-0.23695657,-0.06337805,-0.04028843,0.00961707,-0.07498975,-0.12639679,0.0051156
